name,FWHM
UGC03973,1.890
UGC03995,2.917
NGC2449,3.019
UGC04029,2.452
UGC04054,2.281
IC0480,2.089
NGC2476,2.744
NGC2480,2.578
NGC2481,2.578
NGC2487,1.983
UGC04132,2.694
UGC04140,1.979
UGC04145,2.851
UGC04136,2.505
IC0485,2.071
NGC2507,2.914
NGC2513,2.392
UGC04176,2.450
UGC04190,2.099
UGC04197,2.885
UGC04210,2.927
UGC04195,2.156
NGC2522,2.071
UGC04233,2.450
NGC2530,2.276
UGC04240,2.450
UGC04245,2.143
UGC04258,2.800
NGC2540,2.231
NGC2543,2.579
UGC04280,2.712
IC2247,3.198
UGC04308,2.450
NGC2553,2.814
NGC2554,2.224
UGC04262,2.829
NGC2558,2.450
NGC2565,2.450
NGC2572,2.315
NGC2577,3.085
UGC04375,3.098
IC2341,2.897
IC2361,2.450
NGC2592,2.266
NGC2596,2.314
NGC2595,3.704
UGC04425,2.776
UGC04461,2.783
NGC2604,2.413
UGC04468,2.339
NGC2623,2.744
NGC2638,1.649
UGC04550,2.450
NGC2639,2.499
UGC04546,2.324
UGC04551,2.709
IC2407,2.516
UGC04659,2.739
UGC04722,2.495
NGC2730,2.668
NGC2805,1.956
NGC2880,2.485
IC2487,2.067
IC0540,2.355
NGC2906,2.549
NGC2916,1.969
UGC05108,2.331
NGC2918,2.740
UGC05111,2.814
UGC05113,2.495
UGC05244,2.929
UGC05358,3.069
UGC05359,2.361
UGC05396,2.833
NGC3106,2.433
NGC3057,3.394
UGC05498NED01,1.943
NGC3158,3.310
NGC3160,3.310
UGC05520,3.263
NGC3182,3.133
UGC05598,2.957
NGC3300,2.023
NGC3303,1.907
UGC05771,3.079
NGC3381,2.612
NGC3395,2.231
NGC3406NED01,2.277
UGC05990,2.544
UGC06036,2.508
IC0674,2.610
UGC06256,3.824
UGC06312,2.168
NGC3615,2.578
NGC3614,2.857
NGC3610,2.710
NGC3619,3.000
NGC3687,2.066
NGC3811,2.601
NGC3815,2.450
NGC3842,1.919
NGC3991,2.495
NGC3994,2.495
NGC4003,2.567
UGC07012,2.266
NGC4047,2.684
UGC07145,2.568
NGC4149,2.947
NGC4185,2.690
NGC4210,2.677
NGC4211NED02,2.294
IC0776,2.717
NGC4470,2.560
IC3598,2.453
NGC4644,2.753
NGC4676A,2.916
NGC4711,2.450
UGC08004,2.549
NGC4816,2.699
NGC4841A,2.685
NGC4874,2.450
UGC08107,2.478
NGC4956,2.649
NGC4961,2.129
UGC08231,2.318
UGC08234,2.769
NGC5000,2.285
UGC08250,2.914
UGC08267,2.754
NGC5016,2.214
NGC5029,1.836
UGC08322,3.109
NGC5056,3.168
IC4215,1.996
NGC5157,2.871
NGC5205,2.829
NGC5198,2.617
NGC5216,3.537
NGC5218,3.537
NGC5267,2.325
UGC08662,2.130
NGC5289,2.488
UGC08733,2.010
NGC5320,2.708
IC0944,1.798
UGC08778,1.919
UGC08781,2.071
NGC5376,2.531
NGC5379,3.055
NGC5378,1.804
NGC5402,2.298
NGC5394,2.769
NGC5406,1.910
NGC5425,2.022
NGC5421NED02,2.381
NGC5439,2.757
NGC5443,2.560
NGC5423,2.097
UGC08988,2.327
NGC5434B,1.897
UGC08984,2.493
NGC5473,2.449
NGC5475,2.537
NGC5480,2.708
NGC5485,2.198
UGC09071,2.462
UGC09080,3.365
UGC09067,2.083
NGC5520,2.554
NGC5513,2.116
UGC09110,2.362
UGC09113,2.175
NGC5519,2.609
NGC5522,2.449
NGC5525,2.552
NGC5533,2.200
IC0995,2.837
NGC5532,2.100
NGC5546,2.535
IC0994,2.068
NGC5557,2.109
NGC5549,2.602
UGC09165,2.593
NGC5559,2.809
UGC09182,2.173
NGC5580,2.332
UGC09199,1.797
NGC5587,2.464
NGC5602,2.685
NGC5598,1.915
NGC5611,2.172
NGC5614,1.844
NGC5616,2.246
NGC5610,2.620
NGC5622,1.902
NGC5631,2.127
UGC09253,2.310
NGC5623,2.489
UGC09262,2.450
NGC5633,2.686
NGC5630,2.141
NGC5635,2.648
UGC09291,2.814
NGC5642,2.377
NGC5656,1.930
NGC5657,3.204
NGC5659,2.299
NGC5665,2.037
NGC5675,1.961
NGC5682,2.797
NGC5689,2.537
NGC5684,1.782
UGC09401,2.489
NGC5714,1.933
NGC5720,2.540
UGC09448,2.385
NGC5730,2.622
NGC5731,2.622
NGC5732,3.017
UGC09476,2.141
NGC5739,1.697
NGC5735,2.423
UGC09492,2.150
UGC09518,2.606
UGC09537,1.889
UGC09542,2.390
UGC09539,2.560
NGC5772,1.595
NGC5784,2.099
UGC09598,2.068
NGC5797,2.554
IC1079,2.336
UGC09629,3.031
UGC09665,2.460
NGC5829,2.450
UGC09711,2.450
IC4534,2.313
NGC5876,3.048
UGC09759,2.450
NGC5888,2.905
UGC09777,2.077
NGC5908,3.309
UGC09842,1.950
UGC09849,2.450
NGC5928,2.178
NGC5930,2.309
NGC5934,2.323
UGC09873,2.810
UGC09892,2.277
NGC5951,2.450
UGC09901,2.761
NGC5953,2.096
NGC5957,2.094
NGC5971,2.436
UGC09919,2.398
NGC5966,2.450
IC4566,2.686
UGC09937,2.428
NGC5987,2.450
NGC5980,2.158
UGC10043,2.613
UGC10042,2.450
NGC6004,2.621
UGC10097,3.531
NGC6020,2.326
NGC6021,2.246
IC1151,2.437
UGC10123,2.728
NGC6027,2.756
NGC6032,2.242
NGC6060,2.164
UGC10205,2.050
NGC6063,2.403
IC1199,3.084
UGC10257,2.450
NGC6081,2.970
UGC10297,2.217
UGC10331,2.410
NGC6125,2.450
UGC10337,2.152
NGC6132,2.066
NGC6146,2.018
NGC6154,2.232
UGC10380,2.450
NGC6150,2.522
NGC6155,2.618
UGC10384,2.511
UGC10388,3.005
NGC6166NED01,2.001
NGC6173,3.146
NGC6168,1.717
NGC6186,2.186
UGC10650,1.998
NGC6278,2.028
UGC10693,1.973
UGC10695,2.183
UGC10710,2.450
NGC6310,2.771
NGC6301,2.450
NGC6314,3.709
NGC6338,2.747
UGC10796,3.833
NGC6361,3.082
UGC10811,2.707
IC1256,2.383
NGC6394,3.139
UGC10905,2.637
NGC6411,1.824
NGC6427,2.329
UGC10972,2.741
NGC6478,2.690
NGC6497,1.844
NGC6515,1.929
UGC11228,2.450
UGC11262,2.450
NGC6762,2.143
MCG-02-51-004,2.196
NGC6941,1.942
NGC6945,2.172
NGC6978,1.892
UGC11649,2.003
UGC11680NED01,2.275
NGC7025,2.081
UGC11694,2.450
NGC7047,1.811
UGC11717,2.450
MCG-01-54-016,3.266
UGC11740,2.070
UGC11792,2.942
NGC7194,1.714
NGC7236,2.093
UGC11958,2.093
UGC11982,2.033
UGC12054,2.417
NGC7311,1.895
NGC7321,3.054
UGC12127,2.805
NGC7364,2.179
UGC12185,3.204
UGC12224,2.241
NGC7436B,2.450
UGC12274,2.208
UGC12308,2.050
NGC7466,2.325
UGC12348,2.450
NGC7489,2.450
NGC7536,2.006
NGC7550,2.915
NGC7549,2.938
NGC7563,1.837
NGC7562,2.166
NGC7591,1.655
UGC12494,1.596
IC5309,1.937
NGC7608,2.376
NGC7611,2.258
UGC12519,3.177
UGC12518,2.081
NGC7619,1.904
NGC7623,2.201
NGC7625,2.311
NGC7631,1.901
NGC7653,2.050
NGC7671,3.028
NGC7683,2.877
UGC12633,2.232
NGC7684,2.450
NGC7691,2.330
UGC12653,2.450
UGC12688,2.079
NGC7711,2.102
NGC7716,2.081
NGC7722,2.355
UGC12723,2.103
NGC7738,2.263
UGC12767,2.450
UGC12810,2.308
UGC12816,2.814
NGC7782,1.768
NGC7783NED01,2.384
NGC7787,2.393
UGC12857,2.817
UGC12864,2.748
MCG-01-01-012,2.450
NGC7800,1.777
