name,PA,ellipticity,i,distance,R_25,PSF,Mass,error_Mass,lSFR,error_lSFR,L_K19N2O2_50,L_K19N2O2_16,L_K19N2O2_84,L_PPN2_50,L_PPN2_16,L_PPN2_84,L_PPO3N2_50,L_PPO3N2_16,L_PPO3N2_84
NGC6478,122,0.624,69,102.2,13.083,2.69,11.35,0.094,1.123,0.060,0.824,0.636,0.982,1.637,1.48,1.817,1.747,1.536,1.99
NGC7321,112,0.37,52,107.2,13.595,3.05,11.175,0.083,0.788,0.059,1.723,1.614,1.856,1.078,1.002,1.167,0.519,0.402,0.587
NGC7364,156,0.328,48,72.6,9.245,2.18,10.999,0.098,0.706,0.060,0.456,0.344,0.533,0.453,0.402,0.533,0.29,0.2,0.359
UGC12224,117,0.2,37,52.7,6.3,2.24,10.255,0.081,-0.111,0.060,0.33,0.274,0.389,0.464,0.42,2.017,0.452,0.363,0.508
NGC7466,116,0.608,68,113.2,15.408,2.33,10.98,0.091,0.679,0.061,2.341,1.965,2.836,1.865,1.731,1.999,0.753,0.508,0.914
NGC7489,251,0.386,53,93.5,12.277,2.45,10.884,0.076,0.705,0.057,0.6,0.519,0.675,0.831,0.794,0.868,1.226,1.189,1.266
NGC7536,146,0.58,66,70.3,9.742,2.01,10.654,0.089,0.506,0.060,1.256,1.186,1.329,2.069,1.957,2.194,2.141,2.081,2.199
NGC7549,123,0.384,53,70.3,9.505,2.94,10.788,0.086,0.476,0.061,0.692,0.608,0.778,0.908,0.836,0.986,2.322,2.167,2.481
NGC7591,236,0.521,62,73.9,9.668,1.66,11.086,0.097,0.993,0.061,1.522,1.359,1.697,4.021,3.721,4.41,1.027,0.938,1.114
UGC12494,125,0.68,73,62.6,7.951,1.6,9.7,0.095,-0.246,0.058,0.383,0.224,0.543,0.826,0.586,1.001,1.173,1.1,1.232
NGC7653,253,0.177,35,63.5,7.741,2.05,10.728,0.09,0.498,0.060,0.425,0.386,0.462,0.397,0.377,0.416,0.366,0.344,0.39
NGC7716,137,0.218,39,37.9,4.946,2.08,10.56,0.08,-0.174,0.060,0.187,0.145,0.228,0.517,0.462,0.575,0.263,0.23,0.292
UGC12810,143,0.61,68,121.9,13.956,2.31,10.875,0.086,0.612,0.056,1.319,1.156,1.455,1.522,1.402,1.658,2.017,1.838,2.189
UGC12816,229,0.441,57,79.8,9.813,2.81,10.032,0.109,0.034,0.058,0.389,0.235,0.483,0.571,0.386,0.661,1.116,1.065,1.166
UGC12864,190,0.641,70,69.9,9.267,2.75,10.202,0.101,-0.046,0.061,1.197,1.012,1.395,2.336,2.141,2.577,4.355,4.007,4.763
